county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated,epoch
Tulare County,06107,California,466195,789,"Tulare, CA",466195,10.3,12.9,190.05,Medium,2022-08-04,1659596400
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,9.4,12.1,145.90,Medium,2022-08-04,1659596400
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,7.3,13.0,259.99,High,2022-08-04,1659596400
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,13.1,16.3,396.23,High,2022-08-04,1659596400
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,1.7,2.0,137.38,Low,2022-08-04,1659596400
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,6.8,11.5,220.18,High,2022-08-04,1659596400
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,9.1,10.7,136.33,Medium,2022-08-04,1659596400
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,1.7,2.0,132.93,Low,2022-08-04,1659596400
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,6.7,8.4,288.15,Medium,2022-08-04,1659596400
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,7.7,12.9,249.97,High,2022-08-04,1659596400
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,5.1,7.8,181.91,Low,2022-08-04,1659596400
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,5.1,7.8,251.06,Medium,2022-08-04,1659596400
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,7.7,12.9,289.34,High,2022-08-04,1659596400
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,7.7,15.1,130.92,Medium,2022-08-04,1659596400
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,10.4,19.1,243.16,High,2022-08-04,1659596400
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,10.4,19.1,334.08,High,2022-08-04,1659596400
Ventura County,06111,California,846006,790,"Ventura, CA",846006,7.8,14.2,245.39,High,2022-08-04,1659596400
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,9.4,12.1,220.02,High,2022-08-04,1659596400
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,8.2,12.2,71.91,Medium,2022-08-04,1659596400
Kern County,06029,California,900202,807,"Kern, CA",900202,11.3,13.9,157.30,Medium,2022-08-04,1659596400
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,9.3,11.4,237.53,High,2022-08-04,1659596400
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,7.7,12.9,245.36,High,2022-08-04,1659596400
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,8.5,14.8,206.18,High,2022-08-04,1659596400
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,7.8,11.9,361.86,High,2022-08-04,1659596400
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,7.2,11.2,238.10,High,2022-08-04,1659596400
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,9.3,11.4,181.59,Medium,2022-08-04,1659596400
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,9.1,10.7,66.56,Medium,2022-08-04,1659596400
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,8.8,10.4,205.53,High,2022-08-04,1659596400
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,7.4,12.2,135.21,Medium,2022-08-04,1659596400
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,5.0,12.7,186.86,Medium,2022-08-04,1659596400
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,5.4,9.4,0.00,Low,2022-07-28,1658991600
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,7.2,11.8,215.34,High,2022-07-28,1658991600
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,6.0,13.2,185.64,Medium,2022-07-28,1658991600
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,7.2,11.8,176.10,Medium,2022-07-28,1658991600
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,8.0,13.5,900.04,High,2022-07-28,1658991600
